idCurso,Curso,abreviaturaCurso,habilitado
100047,100047-MBA + PSU Marketing Digital,MBAEspMarketing-100047,si
101286,101286-Máster Universitario en Comunicación y Marketing Político,ComunicMkPolitic-101286,si
10181,10181-Máster Universitario en Intervención Social en las Sociedades del Conocimiento,IntervencionSocial-10181,si
103557,103557-Licenciatura en Administración de Empresas (Plan 2016),LicAde-103557,si
103562,103562-Máster Universitario en Diseño Gráfico Digital,DisenoGraficoDigital-103562,si
104045,104045-Grado en Nutrición Humana y Dietética,NutriciHumanaDietet-104045,si
104046,104046-Máster Universitario en Psicopedagogía - CUNIMAD,Psicopedagogia-104046,si
104708,104708-Máster en Fisioterapia en el dolor cráneo-cervical y orofacial,FisioteCreaneoCervic-104708,si
10509,"10509-Máster Universitario en Formación del Profesorado en Educación Secundaria, Bachillerato, Formación Profesional y Enseñanza de Idiomas",EduSecundBachyFP-10509,si
10519,10519-Máster Universitario en E-Learning y Redes Sociales,ElearningRrss-10519,si
106670,106670-Máster Universitario en Musicoterapia,Musicoterapia-106670,si
107019,107019-Máster en Facility BIM Manager,FacilityBimManager-107019,si
109074,109074-Experto en Project Management en Investigación Clínica,ProjectManagerCROs-109074,si
109076,"109076-Máster Nutrición, Obesidad y Técnicas Culinarias",NutricionObesidad-109076,si
111414,111414-Experto Universitario en Técnicas de Litigación en Juicio,TecLitigacionJuicio-111414,si
111423,111423-Licenciatura en Comunicación (Plan 2016),LicComunicacion-111423,si
111944,111944-Doble Grado en Derecho y Ciencias Políticas,DGderechoYPoliticas-111944,si
11209,11209-Máster Universitario en Dirección e Ingeniería en Sitios Web,DirIngenieriSitioWeb-11209,si
112188,112188-Máster Universitario en Derecho de Familia,DerechodeFamilia-112188,si
112217,112217-Maestría mexicana en Diseño y Gestión de Proyectos Tecnológicos,DisenGestProyectTec-112217,si
112218,"112218-Maestría en Aprendizaje, Cognición y Desarrollo Educativo",AprendizajCogniDesEd-112218,si
112219,112219-Maestría mexicana en Marketing Digital,MkDigitComerciElec-112219,si
112306,112306-Mención en Educación Física,MencionEduFisica-112306,si
112307,112307-Mención en Educación Musical,MencionEduMusical-112307,si
113596,113596-Maestría mexicana en Dirección y Administración de Empresas (MBA) con Orientación en Marketing Digital,MbaEspMarketDig-113596,si
115361,115361-MBA + Curso Universitario Avanzado en Dirección de Proyectos,MBAEspDirProyect-115361,si
115692,115692-Programa en Transformación Digital,TransfomacionDigital-115692,si
115693,115693-Programa en Dirección y Gestión de la Innovación,GestionInnovacion-115693,si
115697,115697-Maestría mexicana en Dirección y Administración de Empresas (MBA) + Dirección de Proyectos,MbaEspDirProyect-115697,si
115801,115801-Máster Universitario en Dirección e Intervención Sociosanitaria,DirIntervenSocioSan-115801,si
121153,121153-Curso en Google for Education,CuGoogleForEducati-121153,si
121186,121186-Máster Universitario en Educación Inclusiva e Intercultural,EducaInclusivInter-121186,si
121188,121188-Máster en Marketing Analytics,MarketingAnalytics-121188,si
121676,121676-Máster Universitario en Estudios Avanzados en Terrorismo: Análisis y Estrategias,EATerrorismo-121676,si
121702,121702-Máster Universitario en Inteligencia Artificial,InteligArtificial-121702,si
121804,121804-MU en Business Process Management (BPM),BusinessProcessManag-121804,si
122230,122230-Maestría mexicana en Dirección y Gestión de Recursos Humanos,Rrhh-122230,si
122231,122231-Maestría mexicana en Dirección de Operaciones y Calidad,DirOperacionesCalid-122231,si
122232,122232-Maestría mexicana en Sistemas Integrados de Gestión,SistemIntegrGestSIG-122232,si
122233,122233-Grado en Teatro,Teatro-122233,si
128468,128468-Programa Executive en Campañas Electorales,EACampanasElectora-128468,si
129998,129998-Experto Universitario en Desarrollo de Aplicaciones Blockchain,DesarrollAppBlockch-129998,si
130010,130010-Programa Avanzado en Prevención de Blanqueo de Capitales y Financiación del Terrorismo,EAPrevencionBlanCap-130010,si
130057,130057-Mención en Pedagogía Terapéutica (Educación Especial) del Grado en Maestro en Educación Infantil,MencPedagogiaTerap-130057,si
130144,130144-Máster Universitario en Métodos de investigación en Educación,MetodosInvestEdu-130144,si
130492,130492-Doble MBA UNIR México + MBA MIU City University Miami (EE.UU),ImbaOnline-130492,si
130494,130494-Máster de Formación Permanente en Coaching y Mentoring,CoachingMentoriEjec-130494,si
130618,130618-MU en Mecánica de Fluidos,MecanicadeFluidosCom-130618,si
130619,130619-Experto Universitario en Packaging y Ecodiseño Digital,PackagingEcodisenDig-130619,si
130620,130620-Experto Universitario en Investigación en Ciencias de la Computación ,InvCiencComputacion-130620,si
130900,130900-Máster Universitario en Composición Musical con Nuevas Tecnologías,ComposMusicalTecnolg-130900,si
130999,130999-Young Professional MBA,MBAFullTime-130999,si
131001,131001-DESCATALOGADO MBA Full Time 100% english,MBAFullTimeIngles-131001,si
131003,131003-Grado en Finanzas y Contabilidad,FinanzaContabiFICO-131003,si
13300,13300-Máster Universitario en Creación de Guiones Audiovisuales,CreacionGuionAudiov-13300,si
133499,133499-Máster Universitario en Dirección y Administración de Empresas - Executive MBA,MBAEspDirectivos-133499,si
135197,135197-Máster Universitario en Industria 4.0,Industria40-135197,si
138762,138762-Executive Master in Business Administration (EMBA),MbaUtive-138762,si
13945,13945-MU en Diseño y Gestión de Proyectos Tecnológicos,DisenoGestProyTec-13945,si
14078,14078-Máster Universitario en Neuropsicología y Educación,NeuropsicologiaEduca-14078,si
141686,141686-Curso en Metodologías activas e Innovación educativa,CuFPMetodActivInnoEd-141686,si
143289,143289-Curso Universitario Avanzado en Desafíos del Orden Global: El Futuro de  Europa,EADesafioOrdenGlobEu-143289,si
14500,14500-Experto Universitario en Ortopedia para Farmacéuticos,OrtopediaFarmaceut-14500,si
145596,145596-Programa Avanzado en Lean Management,LeanManagement-145596,si
146034,146034-Mención en Audición y Lenguaje,MencionAudicLenguaje-146034,si
146477,146477-Máster Universitario en Derecho del Trabajo y de la Seguridad Social,DerechoTrabjSeguSoc-146477,si
147355,147355-Máster Universitario en Diseño Industrial y Desarrollo de Producto,DisenoIndustryProd-147355,si
147451,147451-Grado en Maestro en Educación Infantil (Grupo Bilingüe),EduInfantilBilingue-147451,si
147452,147452-Grado en Maestro en Educación Primaria (Grupo Bilingüe),EduPrimariaBilingue-147452,si
147572,147572-Máster Universitario en Dirección Comercial y Ventas,DirComercialyV-147572,si
